a,b,c,d
504,995,10,-70
917,697,812,818
82,332,146,351
540,681,310,-45
-23,139,656,632
690,332,327,809
848,617,74,-88
130,-56,625,38
524,593,4,531
968,565,201,211
-35,398,225,987
-13,898,560,598
819,460,307,743
832,145,490,676
-53,930,597,243
906,629,264,840
66,36,837,896
460,871,311,562
400,614,991,0
326,-54,305,821
923,698,838,448
249,552,968,859
31,800,821,719
-49,626,900,-25
342,185,405,806
95,-79,825,723
799,280,154,87
948,761,466,-35
485,895,41,815
127,-55,206,-86
809,673,705,79
928,654,594,363
81,313,692,829
656,358,72,13
606,498,697,489
266,746,362,987
-44,161,460,323
189,107,688,290
193,595,836,56
341,401,215,-70
-6,478,78,431
513,558,723,315
105,849,225,424
409,-25,622,852
321,503,984,624
913,19,468,140
583,241,176,102
549,432,396,633
16,43,45,441
69,806,604,217
194,980,448,803
-55,970,290,830
-2,479,23,-19
108,278,896,574
854,397,692,496
354,947,835,127
424,344,307,22
806,431,775,372
319,109,382,455
473,889,78,512
83,509,363,762
684,843,834,49
1000,-53,842,-37
215,637,611,720
411,640,272,810
296,759,390,523
910,-82,10,-9
732,33,496,146
167,563,439,332
96,677,259,146
789,489,798,837
303,-77,-44,909
806,286,403,765
440,981,261,7
305,349,756,915
435,988,522,262
276,630,-17,770
-6,837,87,678
984,-51,829,-52
129,497,599,298
138,666,753,909
584,950,640,655
721,712,317,203
334,630,-51,-14
249,91,-89,811
929,75,307,441
509,401,335,185
994,953,937,166
3,282,207,-48
442,745,856,673
270,253,69,132
651,401,257,927
862,143,540,103
19,792,142,244
461,777,169,-38
571,361,499,324
570,743,506,127
841,176,907,318
635,852,300,-22
316,265,351,673
836,227,487,-32
-20,4,64,502
983,119,787,882
946,152,402,672
658,-85,768,856
568,999,1,16
773,-80,443,826
777,960,-81,273
168,779,643,448
352,777,593,-15
186,156,602,425
936,139,233,816
795,251,877,182
734,346,306,683
388,637,451,393
-82,467,299,124
777,317,953,117
30,782,480,379
-15,220,920,850
-54,-31,600,671
97,159,454,518
280,204,86,-26
752,969,994,565
623,407,23,978
-20,164,-43,521
134,691,168,468
978,520,234,773
941,690,473,-36
259,684,886,918
817,480,803,781
-100,368,215,174
202,849,468,38
257,878,711,613
651,938,361,988
991,650,12,191
759,626,226,961
579,336,436,66
817,269,76,945
49,813,31,220
344,465,481,295
422,14,-9,399
462,436,980,535
864,503,754,773
556,733,124,999
57,935,545,787
700,265,440,350
-24,714,848,635
807,-14,-38,947
403,671,-66,536
797,-54,221,911
125,345,908,85
607,505,132,495
309,312,48,528
728,691,-17,384
213,542,591,346
601,853,288,632
678,176,985,375
36,977,240,-89
890,60,685,-46
-30,849,162,894
131,253,949,119
503,-80,757,430
325,884,590,276
390,908,893,759
746,707,505,138
-45,122,709,73
367,705,240,-42
263,85,194,576
72,959,-78,750
827,540,602,599
889,588,507,120
296,179,444,89
162,783,163,65
183,712,111,-16
429,-70,829,486
578,979,494,837
536,587,16,96
681,365,535,923
874,-65,740,942
673,770,855,-93
428,934,581,-56
604,910,567,875
794,824,415,646
763,226,-33,246
731,643,802,752
1,219,560,963
818,310,278,-85
241,263,909,736
452,310,285,764
152,167,907,815
851,714,243,772
349,651,722,789
701,920,558,880
643,857,788,438
712,417,332,-9
-13,567,468,197
347,902,986,285
803,291,337,242
768,32,665,143
933,945,288,861
