a,b,c,d
706,733,477,647
122,91,683,320
277,727,700,281
187,1000,143,687
504,432,393,988
524,14,697,872
-51,465,443,-69
403,650,866,938
406,900,610,353
987,644,738,352
86,-97,194,651
31,893,-37,776
416,427,583,285
304,761,283,233
789,848,-56,110
797,847,240,274
30,111,125,122
235,414,433,317
81,142,35,-97
556,134,435,702
590,590,351,1
48,425,525,135
35,912,725,13
136,64,970,81
216,394,394,176
199,734,675,366
933,927,295,938
776,272,806,270
-64,193,294,437
835,650,-5,461
298,260,-83,58
728,943,942,802
112,879,587,484
57,492,339,1000
-20,723,696,222
52,766,838,485
551,553,117,593
502,870,688,100
400,61,331,656
668,82,559,285
986,575,-80,637
187,335,997,-24
461,968,-15,499
741,654,321,600
89,657,880,657
596,183,666,-32
904,433,641,949
515,474,678,199
969,880,-59,583
928,451,67,411
262,830,913,713
141,292,427,861
16,837,147,326
356,-49,567,863
929,604,990,274
975,842,939,760
899,778,648,875
20,488,647,250
541,976,658,130
-91,871,585,747
0,898,543,816
617,135,713,510
503,324,836,988
814,812,764,473
74,232,555,-79
918,320,950,184
167,564,371,871
763,998,-18,625
264,452,906,220
185,94,-32,775
691,290,95,912
890,812,187,930
267,391,864,892
194,748,-80,571
220,939,812,605
418,830,475,164
369,433,527,155
348,437,829,292
109,162,580,580
901,468,119,802
215,540,313,555
450,175,414,1000
152,408,-7,293
683,287,260,800
376,741,257,256
702,741,438,727
709,325,218,1000
887,528,177,529
391,832,236,104
343,861,835,380
578,77,665,37
55,794,956,139
354,-78,476,826
276,330,971,883
502,912,495,396
603,600,424,112
235,615,90,-57
700,759,305,561
791,164,-25,608
92,297,519,278
717,181,371,126
887,428,143,908
979,852,471,715
-96,176,164,396
-89,850,251,786
188,353,547,680
412,614,88,63
76,387,984,288
451,841,880,761
476,825,895,307
56,724,397,791
529,12,177,746
900,706,782,11
645,189,89,547
999,695,670,131
256,454,-99,278
409,675,69,927
273,245,594,-88
-64,316,806,-43
369,63,-94,972
564,732,-67,57
624,-33,422,160
659,-30,225,218
907,699,-2,955
415,726,489,356
185,752,668,135
267,941,128,661
186,969,363,292
738,124,981,684
203,88,318,665
164,453,-94,230
123,564,390,532
56,751,223,241
3,190,903,393
-45,471,323,564
27,456,-1,556
457,-14,691,-66
563,363,369,-45
396,420,922,793
549,642,960,501
753,742,242,909
742,680,622,543
-79,682,183,362
6,134,253,995
-45,743,284,611
697,827,377,430
162,960,991,869
513,561,218,505
365,372,555,634
287,731,404,657
46,646,264,922
-70,352,639,924
83,-80,40,286
215,46,31,223
361,904,291,841
-18,843,128,711
409,820,990,307
216,451,252,266
470,900,-91,434
-40,411,526,613
475,-16,819,275
129,-14,901,51
-92,244,-84,68
885,85,656,446
699,-10,178,912
315,833,-74,160
64,701,761,834
435,-89,554,141
341,687,443,905
85,-44,335,890
554,558,644,153
422,375,761,668
95,677,1,527
480,844,301,846
807,160,268,774
368,750,-94,789
840,665,574,342
124,252,656,90
523,953,855,186
118,477,599,203
740,617,409,169
823,872,-73,769
636,759,351,626
249,715,362,521
538,12,783,2
-88,878,610,331
655,53,463,892
-48,486,582,571
795,410,542,942
864,963,912,-21
-95,955,316,900
281,198,468,886
462,-15,536,314
700,892,481,619
360,763,-88,290
338,853,617,837
957,388,300,884
804,354,64,669
120,968,51,460
417,27,224,121
